Session Time,Completed Step
27.940924,Pour Broth
58.024387,Add Beef
58.089851,Add Beef
60.278862,Add Beef
61.921577,Add Beef
69.08886,Add Beef
70.854645,Add Beef
75.07663,Add Beef
77.508598,Add Beef
97.184174,Add Onion
97.206306,Add Onion
98.295631,Add Onion
98.514061,Add Onion
139.466461,Add Tomtato
140.108612,Add Tomtato
141.842834,Add Tomtato
143.153549,Add Tomtato
162.049561,Add Potato
162.926727,Add Potato
163.759842,Add Potato
164.438568,Add Potato
193.811493,Add Carrot
193.855377,Add Carrot
196.154053,Add Carrot
197.442032,Add Carrot
202.70932,Add Carrot
203.907196,Add Carrot
211.99704,Add Carrot
212.051895,Add Carrot
225.748825,Add pepper
225.959747,Add Salt
261.56543,Stir Stew
